Provider Name/Clinic Name,County,Pfizer Doses Requested,Total Allocated - Pfizer,Moderna Doses Requested,Total Allocated - Moderna
lula pharmacy and foothills gift shop,Hall,0,0,400,"0"
Medlink Georgia - Gainesville,Hall,0,0,600,"700"
Murrayville Pharmacy,Hall,0,0,200,"0"
ngpg gainesville family medicine,Hall,0,0,1500,"0"
ngpg internal medicine gainesville,Hall,0,0,0,"0"
Ngpg Oakwood,Hall,0,0,3700,"100"
northeast georgia medical center,Hall,14625,10725,12000,"10000"
northeast georgia physicians group,Hall,0,0,0,"0"
Northeast Georgia Physicians Group Flowery Branch,Hall,0,0,800,"200"
northeast georgia physicians grouphealt,Hall,0,0,800,"0"
pediatric associates gainesville,Hall,0,0,0,"0"
premise healthboehringer ingelheim gain,Hall,0,0,0,"0"
Publix Pharmacy#0634,Hall,0,0,1400,"500"
Publix Pharmacy#0706,Hall,0,0,1400,"500"
Publix Pharmacy#0844,Hall,0,0,1400,"500"
Publix Pharmacy#1110,Hall,0,0,1900,"600"
Publix Pharmacy#1279,Hall,0,0,1400,"400"
Riverside Pharmacy,Hall,0,0,400,"0"
sams club store 6644,Hall,0,0,0,"0"
the little clinic of ga jesse jewell,Hall,0,0,0,"0"
The Longstreet Clinic Internal And Family Medicine,Hall,0,0,13600,"1000"
Walgreens 9706,Hall,0,0,1100,"0"
walmart store 2699,Hall,0,0,0,"0"
walmart store 2731,Hall,0,0,0,"0"
walmart store 3627,Hall,0,0,0,"0"
walmart store 510,Hall,0,0,0,"0"
wauka mountain pharmacy,Hall,0,0,400,"0"
Woodys Pharmacy,Hall,0,0,300,"0"
community health care system inc hancock,Hancock,0,0,300,"100"
Hancock County Health Dept,Hancock,0,0,2400,"1600"
316 Family Medicine,Haralson,0,0,500,"0"
buchanan drugs,Haralson,0,0,100,"0"
Haralson County Health Department,Haralson,0,0,11100,"4700"
haralson county schools pandemic provid,Haralson,0,0,0,"0"
higgins general hospital,Haralson,0,0,0,"0"
Ingles Pharmacy #105,Haralson,0,0,1000,"800"
walmart store 856,Haralson,0,0,0,"0"
Harris County Health Department,Harris,0,0,2200,"1600"
Holmes Pharmacy Inc,Harris,0,0,1600,"800"
U Save It Pharmacy - Pine Mtn,Harris,0,0,600,"200"
Hart County Health Department,Hart,0,0,13000,"2400"
Hartwell Drugs,Hart,0,0,1000,"0"
"Hartwell Family Practice, P.C.",Hart,0,0,3100,"0"
Ingles Pharmacy #66,Hart,0,0,1000,"700"
Medlink Georgia - Hartwell,Hart,0,0,1000,"800"
walmart 1111,Hart,0,0,0,"0"
Heard County Health Department,Heard,0,0,11100,"3700"
Advanced Internal Medicine,Henry,0,0,700,"0"
Arthritis Research & Treatment Center,Henry,975,975,0,"0"
bright pharmacy,Henry,0,0,0,"0"
cvs 5682,Henry,0,0,0,"0"
davita dialysis mcdonough,Henry,0,0,200,"0"
Eagle's Landing Longevity Center,Henry,0,0,500,"0"
Eagles Landing Family Practice,Henry,0,0,1000,"100"
Eagles Landing Family Practice,Henry,0,0,2300,"0"
Eagles Landing Family Practice,Henry,0,0,2500,"0"
Eagles Landing Family Practice,Henry,0,0,2300,"0"
Eagles Landing Family Practice,Henry,0,0,2000,"0"
Eagles Landing Family Practice,Henry,0,0,2300,"0"
eagles landing family practice mcdonou,Henry,0,0,2300,"0"
Eagles Landing Pharmacy,Henry,0,0,800,"100"
Family Health Clinic Of Mcdonough,Henry,0,0,2600,"100"
Fkc Eagles Landing Dialysis,Henry,0,0,300,"100"
Henry County Health Dept,Henry,1950,0,5200,"5600"
henry county pediatrics,Henry,0,0,0,"0"
Ingles Pharmacy #467,Henry,0,0,1000,"700"
Ingles Pharmacy #495,Henry,0,0,1100,"800"
Kroger Pharmacy 01100369,Henry,0,0,1300,"400"
Kroger Pharmacy 01100405,Henry,0,0,1300,"300"
Kroger Pharmacy 01100433,Henry,0,0,1300,"400"
Kroger Pharmacy 01100493,Henry,0,0,1300,"300"
medlife urgent care,Henry,0,0,0,"0"
Moyes Pharmacy - Corp,Henry,0,0,2100,"100"
moyes pharmacy mcdonough north,Henry,0,0,0,"0"
Moyes Pharmacy Of Hampton Inc,Henry,0,0,2100,"200"
Moyes Pharmacy Of Locust Grove Inc,Henry,0,0,2100,"200"
optimum pediatric services,Henry,0,0,0,"0"
"Pain Care, Llc",Henry,1950,0,300,"100"
Piedmont Henry Hospital,Henry,15600,6825,0,"0"
Publix Pharmacy#0092,Henry,0,0,1000,"300"
Publix Pharmacy#0547,Henry,0,0,1000,"300"
Publix Pharmacy#0816,Henry,0,0,1200,"600"
Publix Pharmacy#1052,Henry,0,0,1100,"400"
Publix Pharmacy#1054,Henry,0,0,1100,"400"
Sacred Journey Hospice,Henry,0,0,700,"400"
safe haven nursing services,Henry,0,0,0,"0"
sams club store 4804,Henry,0,0,0,"0"
Southern Grace Hospice,Henry,1950,0,4200,"800"
"Southern Medical Clinic, Llc",Henry,0,0,500,"100"
Transitional Care Clinic,Henry,0,0,3200,"200"
Walgreens #06209,Henry,0,0,800,"0"
walgreens 9621,Henry,0,0,0,"0"
walgreens 9623,Henry,0,0,0,"0"
walmart 5709,Henry,0,0,0,"0"
walmart store 3201,Henry,0,0,0,"0"
walmart store 3402,Henry,0,0,0,"0"
walmart store 745,Henry,0,0,0,"0"
ara warner robins dialysis center,Houston,0,0,0,"0"
First Choice Primary Care-warner Robins,Houston,0,0,400,"500"
Fresenius Warner Robins Home Dialysis,Houston,0,0,100,"0"
heart of georgia hospice inc,Houston,0,0,0,"0"
Houston County Health Department,Houston,0,0,19100,"5600"
houston family medicine,Houston,0,0,0,"0"
Houston Healthcare,Houston,46800,5850,2800,"300"
Houston Primary Care Assoc. P.C.,Houston,0,0,1200,"600"
Kroger 257,Houston,0,0,1300,"200"
Kroger Pharmacy 01100407,Houston,0,0,1300,"200"
Kroger Pharmacy 01100641,Houston,0,0,2600,"200"
Kroger Pharmacy 01100696,Houston,0,0,1300,"200"
medical group of central ga,Houston,0,0,3500,"0"
Medicine Stop,Houston,0,0,10500,"2700"
perdue farms perry cook plant,Houston,0,0,0,"0"
perry primary care,Houston,0,0,0,"0"
prime medical associates,Houston,0,0,1000,"0"
Publix Pharmacy #1622,Houston,0,0,1000,"200"
Publix Pharmacy#1008,Houston,0,0,1600,"600"
Publix Pharmacy#1233,Houston,0,0,1400,"400"
Publix Pharmacy#1291,Houston,0,0,1400,"400"
Robins Pharmacy,Houston,1950,0,10000,"500"
"South Houston Internal Medicine, Llc",Houston,0,0,2000,"100"
southern primary care,Houston,0,0,300,"0"
tlc of georgia llc the little clinic bon,Houston,0,0,0,"0"
U Save It Pharmacy - Centerville,Houston,0,0,1200,"600"
w steven wilson md,Houston,0,0,0,"0"
walmart store 840,Houston,0,0,0,"0"
walmart store 920,Houston,0,0,0,"0"
walmart store 1367,Houston,0,0,0,"0"
walmart store 2733,Houston,0,0,0,"0"
walmart store 3389,Houston,0,0,0,"0"
walmart store 3750,Houston,0,0,0,"0"
Irwin Co Health Dept-new,Irwin,0,0,1200,"1300"
Irwin County Hospital,Irwin,0,0,400,"600"
Ocilla Pharmacy,Irwin,0,0,400,"0"
South Central Family Healthcare,Irwin,0,0,1400,"900"
Crawford W. Long Pharmacy,Jackson,0,0,1600,"500"
Ingles Pharmacy #419,Jackson,0,0,1000,"800"
jackson county ems,Jackson,0,0,0,"0"
jackson county health dept,Jackson,0,0,0,"0"
Jackson County Health Deptcommerce,Jackson,1950,1950,2500,"0"
Jefferson Drugs,Jackson,0,0,200,"0"
Medlink Georgia - Jackson,Jackson,0,0,300,"400"
Ngpg Jefferson,Jackson,0,0,500,"200"
Ngpg West Jackson,Jackson,0,0,1600,"100"
publix pharmacy1188,Jackson,0,0,1000,"0"
the little clinic kroger jefferson,Jackson,0,0,0,"0"
U Save It Pharmacy - Commerce,Jackson,0,0,1200,"200"
walgreens 11791,Jackson,0,0,0,"0"
walmart store 3,Jackson,0,0,0,"0"
wayne farms occupational health,Jackson,0,0,0,"0"
Wellness First Pc,Jackson,0,0,1300,"300"
Jasper County Health Dept,Jasper,0,0,3300,"1800"
Jasper Memorial Hospital,Jasper,0,0,2300,"900"
Jeff Davis Health Department,Jeff Davis,0,0,2500,"1600"
Jeff Davis Hospital,Jeff Davis,0,0,600,"500"
walmart 1061,Jeff Davis,0,0,0,"0"
ara132,Jefferson,0,0,100,"0"
Barneys Pharmacy #819,Jefferson,0,0,400,"400"
barneys pharmacy 104,Jefferson,0,0,400,"600"
barneys pharmacy 104,Jefferson,0,0,0,"0"
community health care system inc jeffer,Jefferson,0,0,0,"0"
Jefferson County Health Dept,Jefferson,0,0,1700,"1800"
Jefferson Hospital,Jefferson,0,0,1900,"1000"
North Jefferson Medical Center,Jefferson,0,0,300,"200"
Eagle Pharmacy,Jenkins,0,0,14400,"800"
jenkins correctional center,Jenkins,0,0,0,"0"
Jenkins County Health Department,Jenkins,0,0,1000,"1300"
Jenkins County Medical Center,Jenkins,0,0,500,"500"
Johnson County Center For Community Health,Johnson,0,0,500,"600"
Johnson County Health Department,Johnson,0,0,2600,"2600"
"Community Health Care Systems, Inc- Jones",Jones,0,0,400,"300"
Ingles Pharmacy #486,Jones,0,0,1000,"700"
Jones County Health Department,Jones,0,0,3200,"1700"
walgreens 11940,Jones,0,0,0,"0"
Hines Prescription Shop,Lamar,0,0,3700,"400"
Ingles Pharmacy #498,Lamar,0,0,1100,"800"
Lamar County Health Department,Lamar,7800,7800,0,"0"
zoe pediatrics,Lamar,1950,0,1900,"0"
Lakeland Drug Company,Lanier,0,0,4000,"400"
Lanier County Health Department,Lanier,0,0,1600,"1900"
brighter health medical services,Laurens,0,0,0,"0"
Cancer Center Of Middle Georgia,Laurens,0,0,400,"0"
community health care systems inc,Laurens,0,0,0,"0"
dublin dialysis center,Laurens,0,0,0,"0"
Fairview Park Hospital,Laurens,975,975,0,"0"
Kroger Pharmacy 01100674,Laurens,0,0,1300,"600"
Laurens County Health Dept,Laurens,0,0,13100,"9300"
Medical Center Llp,Laurens,23400,3900,18200,"2300"
renal physicians of ga dublin,Laurens,0,0,0,"0"
walmart store 555,Laurens,0,0,0,"0"
family first medical associates,Lee,0,0,0,"0"
Lee County Health Dept,Lee,0,0,2400,"3000"
phoebe family medical center,Lee,0,0,0,"0"
Publix Pharmacy#1349,Lee,0,0,1000,"200"
Sumter Pediatrics - Leesburg,Lee,0,0,300,"200"
U Save It Pharmacy - Leesburg,Lee,0,0,300,"300"
walmart store 588,Lee,0,0,0,"0"
Coastal Drug Company,Liberty,0,0,1700,"1200"
Davita Hinesville Dialysis,Liberty,0,0,400,"0"
Diversity Health Center,Liberty,0,0,900,"900"
Diversity Health Center,Liberty,0,0,400,"400"
fkc liberty county,Liberty,0,0,0,"0"
Hinesville Pharmacy,Liberty,0,0,5500,"500"
liberty care center,Liberty,0,0,0,"0"
Liberty County Health Department,Liberty,0,0,4700,"2500"
Liberty Regional Medical Center,Liberty,0,0,3800,"1500"
"Robert Glenn Carter, Md",Liberty,0,0,2300,"400"
walmart store 4525,Liberty,0,0,0,"0"
walmart store 4519,Liberty,0,0,0,"0"
walmart store 862,Liberty,0,0,0,"0"
City Pharmacy,Lincoln,0,0,800,"400"
Crawford & Breazeale Drug Co.,Lincoln,0,0,1400,"600"
Lincoln County Health Department,Lincoln,0,0,1700,"1500"
Diversity Health Center,Long,0,0,300,"400"
Long County Health Department,Long,0,0,1300,"1500"
"Barnes Drug Stores Of Valdosta, Inc",Lowndes,0,0,2800,"500"
Chancy Drugs Hahira,Lowndes,0,0,1800,"500"
Chancy Drugs Lake Park,Lowndes,0,0,1000,"200"
Chancy Drugs Valdosta,Lowndes,0,0,1100,"400"
City Of Valdosta--wellness Clinic (Careh,Lowndes,0,0,100,"0"
Griner Medical Group,Lowndes,0,0,1000,"600"
Hogan'S Pharmacy,Lowndes,0,0,800,"0"
lowndes adult hlth promotion clinic,Lowndes,0,0,0,"0"
Lowndes County Health Department,Lowndes,0,80,21400,"7100"
Northside Family Health,Lowndes,0,0,1500,"200"
Partnership Health Center,Lowndes,0,0,600,"100"
pruitthealth pharmacy services valdosta,Lowndes,0,0,0,"0"
Publix Pharmacy#0430,Lowndes,0,0,1100,"500"
Publix Pharmacy#1435,Lowndes,0,0,1600,"700"
sams club store 6204,Lowndes,0,0,0,"0"
South Georgia Medical Center,Lowndes,27300,13650,12000,"3400"
The Medicine Shoppe,Lowndes,0,0,900,"200"
U Save It Pharmacy - Valdosta,Lowndes,0,0,1900,"0"
us renal care,Lowndes,0,0,0,"0"
valdosta state university student heal,Lowndes,975,0,0,"0"
walgreens 06899,Lowndes,0,0,400,"0"
Walgreens 6899,Lowndes,0,0,400,"0"
walmart 6732,Lowndes,0,0,0,"0"
walmart store 2615,Lowndes,0,0,0,"0"
walmart store 899,Lowndes,0,0,0,"0"
Georgia Mountains Health Dahlonega,Lumpkin,0,0,800,"600"
Gold City Convalescent Care Home,Lumpkin,0,0,200,"100"
Lumpkin County Health Department,Lumpkin,0,0,7700,"2400"
Mount Sinai Wellness Center,Lumpkin,0,0,400,"500"
new hankook senior care home,Lumpkin,0,0,0,"0"
Ngpg Dahlonega Family Medicine,Lumpkin,0,0,1500,"0"
Ngpg Dahlonega Internal Medicine,Lumpkin,0,0,600,"0"
prime care dahlonega,Lumpkin,0,0,0,"0"
University Of North Georgia,Lumpkin,1950,0,0,"100"
walgreens 18205,Lumpkin,0,0,0,"0"
Walmart Store 2513,Lumpkin,0,0,1400,"700"
doctors pharmacy,Macon,0,0,0,"0"
flint river hospital,Macon,0,0,0,"0"
Macon County Health Department,Macon,0,0,3600,"1900"
montezuma drug company,Macon,0,0,0,"0"
Sumter Pediatrics-montezuma,Macon,0,0,200,"100"
Adams Primary Care Pc,Madison,0,0,2200,"400"
Ingles Pharmacy #450,Madison,0,0,1000,"700"
Madison County Health Dept,Madison,0,0,1200,"500"
Medlink Georgia - Colbert,Madison,0,0,200,"400"
Medlink Georgia - Habersham,Madison,0,0,1000,"1000"
The Medicine Shoppe #1527,Madison,0,0,1900,"0"
Marion County Health Department,Marion,0,0,2800,"2200"
Family Care Group Of Thomson,McDuffie,0,0,3900,"1300"
Mcduffie County Health Department,McDuffie,0,0,4200,"2600"
walgreens 11995,McDuffie,0,0,0,"0"
walmart store 1658,McDuffie,0,0,0,"0"
jets pharmacy,McIntosh,0,0,200,"0"
Mcintosh County Health Department,McIntosh,0,0,1400,"1600"
meriweather healthcare,Meriwether,0,0,0,"0"
Meriwether County Health Department,Meriwether,975,0,2000,"1800"
Roosevelt Warm Springs Rehab And Specialty Hosp,Meriwether,0,0,0,"0"
U Save It Pharmacy - Greenville,Meriwether,0,0,600,"400"
U Save It Pharmacy - Woodbury,Meriwether,0,0,600,"300"
Warm Springs Medical Center,Meriwether,1950,1035,300,"0"
Yourtown Health Warm Springs,Meriwether,0,0,1000,"400"
calhoun nursing homeedison,Miller,0,0,0,"0"
Colquitt Complete Care,Miller,0,0,1300,"800"
Miller County Health Dept,Miller,0,0,1300,"1900"
Miller County Hospital,Miller,0,0,1000,"1800"
miller county medical center,Miller,0,0,0,"0"
miller pharmacy,Miller,0,0,0,"0"
Collins Family Pharmacy,Mitchell,0,0,1100,"500"
Mitchell County Health Department,Mitchell,0,0,2500,"2400"
Pelham Pharmacy,Mitchell,0,0,1500,"300"
Total Care Pharmacy,Mitchell,0,0,400,"0"
walgreens 12553,Mitchell,0,0,0,"0"
walmart store 843,Mitchell,0,0,0,"0"
Castleberry Drugs,Monroe,0,0,13600,"3300"
Monroe County Health Department,Monroe,0,0,4100,"2100"
Monroe County Hospital,Monroe,0,0,400,"400"
U Save It Pharmacy - Forsyth,Monroe,0,0,800,"400"
walmart store 907,Monroe,0,0,0,"0"
Montgomery County Health Department,Montgomery,0,0,2900,"1900"
Ingles Pharmacy #444,Morgan,0,0,1000,"500"
Morgan County Health Dept,Morgan,0,0,900,"400"
Morgan Medical Center,Morgan,0,0,2000,"1000"
"W Daniel Zant, Jr. Md Pc",Morgan,0,0,1300,"0"
walmart store 1363,Morgan,0,0,0,"0"
corner drugs,Murray,0,0,0,"0"
Food City Pharmacy #230,Murray,0,0,100,"0"
"Georgia Mountains Health Chatsworth ""Healthy Families"" Murray",0,0,800,"600",NA
hamilton physician group internal medici,Murray,0,0,0,"0"
Ingles Pharmacy #86,Murray,0,0,1000,"700"
living well central pharmacy,Murray,0,0,0,"0"
living well pharmacy,Murray,0,0,0,"0"
Murray County Health Department,Murray,0,0,11900,"5200"
murray medical center,Murray,0,0,0,"0"
boxwood place dialysis,Muscogee,0,0,0,"0"
columbus dialysis,Muscogee,0,0,1300,"0"
"Columbus Family Medicine, Llc",Muscogee,0,0,1000,"300"
Columbus Health Dept,Muscogee,0,0,17400,"4800"
columbus memory center pc,Muscogee,0,0,0,"0"
Dcidialysis Clinic Inc East,Muscogee,0,0,100,"0"
fresenius kidney care columbus home,Muscogee,0,0,0,"0"
fresenius medical care river city,Muscogee,0,0,0,"0"
greater columbus personal care home,Muscogee,0,0,0,"0"
janus rx llc,Muscogee,0,0,0,"0"
medcare,Muscogee,0,0,0,"0"
midtown pharmacy,Muscogee,0,0,100,"0"
Nightingale Infusion,Muscogee,2925,975,500,"200"
North Columbus Pharmacy,Muscogee,0,0,900,"500"
Orchard View Rehabilitation & Skilled Nu,Muscogee,0,0,400,"400"
Piedmont Columbus Regional Midtown For Ga Region I Coalition Muscogee,21450,11700,30000,"5700",NA
Publix Pharmacy#0474,Muscogee,0,0,1200,"600"
Publix Pharmacy#0562,Muscogee,0,0,1400,"800"
Publix Pharmacy#0650,Muscogee,0,0,1200,"700"
Publix Pharmacy#1390,Muscogee,0,0,1400,"700"
Renew Health Clinic (Dr. Jacqueline Owusu),Muscogee,0,0,300,"0"
rivertown psychiatry pc,Muscogee,0,0,1000,"0"
Sams Club Store 8213,Muscogee,0,0,1200,"300"
St. Francis Hospital,Muscogee,6825,5075,4000,"1700"
the gardens at calvary,Muscogee,0,0,0,"0"
Valley Healthcare System,Muscogee,0,0,1000,"600"
Walgreens #06328,Muscogee,0,0,800,"0"
walgreens 12754,Muscogee,0,0,0,"0"
walgreens 6326,Muscogee,0,0,0,"0"
walgreens 6327,Muscogee,0,0,0,"0"
walgreens 6373,Muscogee,0,0,0,"0"
walmart store 1311,Muscogee,0,0,0,"0"
walmart store 1338,Muscogee,0,0,0,"0"
walmart store 4200,Muscogee,0,0,0,"0"
walmart store 4283,Muscogee,0,0,0,"0"
walmart store 4421,Muscogee,0,0,0,"0"
walmart store 4426,Muscogee,0,0,0,"0"
walmart store 5907,Muscogee,0,0,0,"0"
West Central Georgia Regional Hospital,Muscogee,0,0,800,"800"
Zoe Center For Pediatrics And Adolescent Health,Muscogee,1950,0,1900,"0"
zoe center for pediatrics and adolescent health llc,Muscogee,1950,0,1900,"0"
Carmichaels Of Covington Inc,Newton,0,0,200,"0"
covington pediatrics,Newton,0,0,300,"0"
cvs 8419,Newton,0,0,0,"0"
Kroger Pharmacy #214,Newton,0,0,1400,"300"
Kroger Pharmacy 01100436,Newton,0,0,1300,"400"
Kroger Pharmacy 01100621,Newton,0,0,1300,"200"
Newton County Health Dept,Newton,0,0,5500,"5800"
Piedmont Newton Hospital,Newton,0,0,7200,"2000"
Publix Pharmacy#0744,Newton,0,0,1100,"600"
Resurgens East Surgery Center,Newton,0,0,100,"100"
walgreens 12621,Newton,0,0,0,"0"
walgreens 13760,Newton,0,0,0,"0"
walmart store 4558,Newton,0,0,0,"0"
walmart store 459,Newton,0,0,0,"0"
farmers oconee pharmacy,Oconee,0,0,200,"0"
Jennings Mill Drug Company,Oconee,0,0,500,"0"
Nightingale Infusion,Oconee,3900,975,500,"200"
oconee county health dept,Oconee,0,0,800,"200"
Oconee Primary Care,Oconee,0,0,500,"300"
Publix Pharmacy#0617,Oconee,0,0,1200,"600"
Reddy Medical Group,Oconee,0,0,600,"0"
Tmb Medical,Oconee,0,0,1000,"200"
Urgent Care Of Oconee,Oconee,16575,0,14900,"1200"
walmart store 1400,Oconee,0,0,0,"0"
Medlink Georgia - Oglethorpe,Oglethorpe,0,0,600,"600"
Oglethorpe County Ems,Oglethorpe,0,0,400,"0"
Oglethorpe County Health Dept,Oglethorpe,0,0,1200,"500"
skrip shoppe pharmacy,Oglethorpe,0,0,0,"0"
cvs 5622,Paulding,0,0,0,"0"
Ingles Pharmacy #414,Paulding,0,0,1100,"800"
Kroger Pharmacy 01100634,Paulding,0,0,1400,"200"
Kroger Pharmacy 01100673,Paulding,0,0,1400,"200"
Lifetime Family Medicine,Paulding,0,0,700,"700"
Paulding County Health Department,Paulding,0,0,21700,"8100"
Publix Pharmacy#1063,Paulding,0,0,1100,"400"
Publix Pharmacy#1184,Paulding,0,0,1000,"300"
Publix Pharmacy#1217,Paulding,0,0,1200,"400"
sams club 4802,Paulding,0,0,0,"0"
the little clinic dallas,Paulding,0,0,0,"0"
walgreens 10528,Paulding,0,0,0,"0"
walgreens 11686,Paulding,0,0,0,"0"
walmart store 3403,Paulding,0,0,0,"0"
walmart store 618,Paulding,0,0,0,"0"
"Wellstar Paulding Medical Center, Inc.",Paulding,44850,6825,40000,"3100"
Connect Care Pharmacy,Peach,0,0,900,"200"
Five Points Pharmacy,Peach,0,0,3800,"1400"
Peach County Health Dept,Peach,0,0,2200,"1600"
U Save It Pharmacy - Byron,Peach,0,0,800,"200"
U Save It Pharmacy - Fort Valley,Peach,0,0,600,"200"
Bell's Family Pharmacy,Pickens,0,0,2100,"300"
Good Samaritan Health & Wellness Center,Pickens,0,0,600,"700"
Ingles Pharmacy #437,Pickens,0,0,1100,"800"
Jasper Drug Store,Pickens,0,0,900,"0"
Pickens County Ems,Pickens,0,0,1500,"200"
Pickens County Health Department,Pickens,1950,975,10000,"4100"
pickens urgent care,Pickens,0,0,0,"0"
Piedmont Mountainside Hospital,Pickens,0,0,1300,"1300"
walgreens 10121,Pickens,0,0,0,"0"
walmart store 5786,Pickens,0,0,0,"0"
Pierce County Health Department,Pierce,0,0,2300,"1600"
Walgreens #17795,Pierce,0,0,800,"0"
alvin l milby medical center,Pike,0,0,100,"100"
family health clinic of pike county,Pike,0,0,2000,"0"
Pike County Health Department,Pike,0,0,1900,"1600"
Azalea Estates Of Fayetteville,Polk,0,0,700,"300"
Kroger Pharmacy 01100429,Polk,0,0,1400,"200"
Polk County Health Department,Polk,0,0,12500,"5200"
Primary Healthcare Center Of Polk,Polk,0,0,200,"400"
Publix Pharmacy#0880,Polk,0,0,1600,"400"
walmart store 4409,Polk,0,0,0,"0"
walmart store 727,Polk,0,0,0,"0"
Batts Drug Company,Pulaski,0,0,1600,"0"
eldercare pharmacy,Pulaski,0,0,0,"0"
magnolia manor pharmacy,Pulaski,0,0,0,"0"
Middle Ga Pediatric Associates/Taylor Reg Medical Ctr,Pulaski,0,0,5000,"2300"
Pinewood Manor,Pulaski,0,0,1100,"300"
Pulaski County Health Department,Pulaski,0,0,2600,"2900"
taylor regional hospital,Pulaski,0,0,0,"0"
us renal care hawkinsville,Pulaski,0,0,0,"0"
cardiology care clinic,Putnam,0,0,0,"0"
lake country pharmacy,Putnam,0,0,0,"0"
lake oconee primary urgent care,Putnam,0,0,1000,"0"
Putnam County Health Department,Putnam,0,0,3400,"2100"
Putnam General Hospital,Putnam,0,0,3700,"1100"
Walmart Store 5482,Putnam,0,0,1100,"600"
Quitman County Health Department,Quitman,0,0,2400,"1300"
Ingles Pharmacy #488,Rabun,0,0,1100,"800"
Medlink Georgia - Rabun,Rabun,0,0,500,"500"
Medlink Georgia Rabun North,Rabun,0,0,400,"400"
Mountain Lakes Medical Center,Rabun,0,0,600,"600"
Ngpg Clayton,Rabun,0,0,200,"0"
Rabun County Health Department,Rabun,0,0,8300,"2800"
toccoa clinic clayton,Rabun,0,0,3000,"0"
U Save It Pharmacy - Clayton,Rabun,0,0,500,"200"
walmart store 2753,Rabun,0,0,0,"0"
Randolph County Health Department,Randolph,0,0,2700,"1900"
"Au Medical Center, Inc.",Richmond,7800,14625,4000,"4500"
Augusta Developmental Specialists,Richmond,0,0,300,"0"
augusta oncology associates,Richmond,0,0,0,"0"
Barney's Pharmacy,Richmond,0,0,2200,"1100"
Barney's Pharmacy At Furys Ferry,Richmond,0,0,300,"100"
belle terrace health wellness ctr,Richmond,0,0,0,"0"
Center For Primary - Central,Richmond,0,0,2000,"0"
Center For Primary Care-south,Richmond,0,0,1000,"0"
center for primary carecrossroads,Richmond,0,0,1000,"0"
Christ Community Health,Richmond,0,0,1600,"1000"
Christ Community Health,Richmond,0,0,700,"600"
Doctors Hospital Of Augusta,Richmond,0,4875,0,"1500"
East Central Regional Hospital,Richmond,0,0,600,"600"
eye surgery center of augusta,Richmond,0,0,0,"0"
Fkc Augusta Home Therapies,Richmond,0,0,200,"100"
Georgia Women's Health Center,Richmond,0,0,100,"0"
Hephzibah Pharmacy,Richmond,0,0,1600,"600"
janus rx llc,Richmond,0,0,0,"0"
Kroger Pharmacy 01100676,Richmond,0,0,1500,"500"
living well pharmacy augusta,Richmond,0,0,0,"0"
Mednow Urgent Care,Richmond,0,0,5000,"200"
nephrology center of south augusta dav,Richmond,0,0,0,"0"
Nightingale Infusion,Richmond,2925,975,500,"200"
Publix Pharmacy#0525,Richmond,0,0,1000,"600"
richmond county detention center,Richmond,0,0,0,"0"
Richmond County Health Department - District 6,Richmond,11700,8775,14000,"13700"
sams club store 8115,Richmond,0,0,0,"0"
Southern Family Medical Center,Richmond,0,0,3300,"700"
University Hospital,Richmond,5850,3025,50600,"13700"
urgent mdwheeler,Richmond,0,0,1000,"0"
Walgreens #19735,Richmond,0,0,800,"0"
walgreens 11827,Richmond,0,0,0,"0"
walgreens 15333,Richmond,0,0,0,"0"
walgreens 6632,Richmond,0,0,0,"0"
walgreens 9789,Richmond,0,0,0,"0"
walmart pharmacy 101293,Richmond,0,0,0,"0"
walmart store 1227,Richmond,0,0,0,"0"
walmart store 2465,Richmond,0,0,0,"0"
walmart store 4144,Richmond,0,0,0,"0"
Walton Rehabilitation Hospital,Richmond,0,0,500,"400"
"William T. Neumann, Md. Pc",Richmond,0,0,3300,"800"
bruce beeber md,Rockdale,0,0,100,"0"
Conyers Pharmacy,Rockdale,0,0,1300,"450"
Eagles Landing Family Practice,Rockdale,0,0,1700,"100"
Ingles Pharmacy #469,Rockdale,0,0,1000,"700"
kaushik amin md,Rockdale,0,0,1000,"0"
Kroger Pharmacy #320,Rockdale,0,0,1400,"200"
oakhurst medical centers inccony,Rockdale,0,0,0,"0"
Piedmont Rockdale Hospital,Rockdale,0,0,7200,"2600"
Publix Pharmacy#1071,Rockdale,0,0,1800,"700"
Publix Pharmacy#1118,Rockdale,0,0,1000,"200"
Publix Pharmacy#1411,Rockdale,0,0,1000,"200"
Reagan's Pharmacy,Rockdale,0,0,15200,"900"
rockdale county fire rescue,Rockdale,0,0,0,"0"
Rockdale County Health Department,Rockdale,0,1950,5000,"1800"
rockdale county jail,Rockdale,0,0,0,"0"
The Women's Center,Rockdale,0,0,3000,"400"
valuecare pharmacy,Rockdale,0,0,500,"0"
walgreens 10479,Rockdale,0,0,0,"0"
walgreens 7742,Rockdale,0,0,0,"0"
walmart store 2475,Rockdale,0,0,0,"0"
wellbrook endoscopy center,Rockdale,0,0,0,"0"
Schley County Health Department,Schley,0,0,3200,"1400"
medicap pharmacy,Screven,0,0,0,"0"
Optim Medical Center Screven,Screven,975,975,600,"600"
Ross Drug,Screven,0,0,1200,"600"
Screven County Health Dept,Screven,0,0,1000,"1500"
Seminole County Health Department,Seminole,0,0,1200,"1800"
family medical center,Spalding,0,0,0,"0"
glofusion clinic,Spalding,0,0,0,"0"
Ingles Pharmacy #457,Spalding,0,0,1200,"1000"
